,Tweets
126,"It's partially the ""oh my god"" moments we've seen so far, part paying it forward, and part the Arizona Cardinals ne… https://t.co/3XHvHYStVy"
127,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
128,"RT @TMSMpodcast: Jimmy Garoppolo or Trey Lance?
Kyler Murray or Colt McCoy?
Geno Smith or Drew Lock? 
Matthew Stafford or John Wolford?

So…"
129,"RT @AdamSchefter: Cardinals are giving QB Kyler Murray a five-year extension that ties him to Arizona for six more years, per source."
130,"RT @TMSMpodcast: Looking to only hear about your favorite team? 

The NFC West does not feel as scrazt as last season but that does not mak…"
131,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
132,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
133,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
134,"RT @TMSMpodcast: Kyler Murray gets his extension. 
Jimmy Garoppolo seeks a trade.
Matthew Stafford has a ring.
Drew Lock. Has a new team……"
135,"RT @BNightengale: Remember when the #Athletics drafted Kyler Murray with their No. 1 pick in 2018, trying to convince him to choose #MLB ov…"
136,"RT @AdamSchefter: Cardinals are giving QB Kyler Murray a five-year extension that ties him to Arizona for six more years, per source."
137,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
138,"RT @IamScottSinger1: The Cardinals have a stupid easy schedule in the 2nd half. So many games vs the NL Central, Colorado, Washington, and…"
139,"RT @AdamSchefter: Cardinals are giving QB Kyler Murray a five-year extension that ties him to Arizona for six more years, per source."
140,"RT @TMSMpodcast: Kyler Murray gets his extension. 
Jimmy Garoppolo seeks a trade.
Matthew Stafford has a ring.
Drew Lock. Has a new team……"
141,"RT @CBSSports: Kyler Murray is set to make $46.1M a year with his new contract extension with the Arizona Cardinals. 

The Oakland Athletic…"
